Date,Open_T0,High_T0,Low_T0,Close_T0,AdjClose_T0,IncClose_T10,Increase,Volume_T0,Day,Month,Week,Open_S1,High_S1,Low_S1,Close_S1,AdjClose_S1,Volume_S1,Open_S2,High_S2,Low_S2,Close_S2,AdjClose_S2,Volume_S2,Open_S3,High_S3,Low_S3,Close_S3,AdjClose_S3,Volume_S3,Open_C1,High_C1,Low_C1,Close_C1,AdjClose_C1,Volume_C1,Open_C2,High_C2,Low_C2,Close_C2,AdjClose_C2,Volume_C2,Open_C3,High_C3,Low_C3,Close_C3,AdjClose_C3,Volume_C3
2017-03-14,456.360992,456.360992,448.214996,450.216003,423.143158,1.010261572,1,5841671,Wed,3,11,480,482.5,468.700012,469.649994,469.649994,662834,450.049988,463.700012,447.399994,462.200012,453.800385,1865638,251.731995,251.731995,247.811005,248.912003,220.301468,53950,179.949997,183.350006,177.5,181.899994,170.752777,3552433,129.5,129.699997,124.199997,124.849998,124.849998,14230799,60.400002,60.849998,59.799999,60.049999,59.107296,4417823
2017-03-15,451.549988,457.313995,448.166992,456.40799,428.962799,1.013753369,1,5837779,Thu,3,11,474.25,476.5,470.649994,473.350006,473.350006,476602,465,467,460.5,462.049988,453.653046,1372111,247.591003,252.942993,242.987,248.845993,220.243027,183885,181.899994,184.899994,180.050003,183.5,172.254745,2518621,124.900002,125.800003,122.5,122.949997,122.949997,7439745,60.25,60.700001,59.799999,60.049999,59.107296,5416419
2017-03-16,461.93399,477.321014,459.17099,476.035004,447.409607,1.043003222,1,10907271,Fri,3,11,476.899994,481.5,476.149994,480.399994,480.399994,1833905,463,470.600006,462.600006,465.799988,457.334869,885731,249.770996,257.722992,248.494003,255.718994,226.326035,134497,185.600006,194.300003,185.199997,192.449997,180.65625,8053833,125.5,130.600006,124,128.350006,128.350006,21880452,60.5,64.150002,60.5,63.650002,62.650784,15944230
2017-03-17,480.036011,484.704987,474.558014,478.463989,449.692505,1.005102534,1,7137662,Mon,3,11,482.600006,484.299988,472.399994,476.350006,476.350006,314915,465.950012,467.799988,459,463.5,455.076721,1047995,258.164001,260.872986,253.626007,254.550995,225.292282,118501,194.25,195.899994,190.149994,192,180.233841,5143534,129,132,127.25,129.949997,129.949997,21304782,63.950001,64.599998,62.549999,63.400002,62.404709,7331709
2017-03-20,478.75,478.94101,468.746002,473.177002,444.723419,0.9889500838,0,4193751,Tue,3,12,477.399994,478.200012,471.299988,476.049988,476.049988,281741,465.950012,470,461.799988,465.549988,457.089447,464420,254.199005,256.027008,252.149994,253.957001,224.766586,72368,192.75,194.75,190.199997,194.100006,182.205139,2608165,130.899994,131,126.099998,128.399994,128.399994,11562259,63.5,64.150002,62.599998,63.799999,62.798428,3662864
2017-03-21,473.415009,477.606995,469.079987,472.937988,444.49881,0.999494874,0,5214122,Wed,3,12,476,477.350006,470.700012,473.350006,473.350006,206191,466.899994,466.899994,459.600006,463.700012,455.273102,907074,253.824005,255.960999,251.886002,254.815994,225.52684,84703,194.649994,194.649994,191,192.399994,180.609329,3832639,129.25,129.399994,126.599998,127.800003,127.800003,7351249,63.75,63.75,62.75,63.200001,62.207848,3515817
2017-03-22,466.841003,470.460999,463.411011,465.031006,437.067261,0.9832811443,0,4883144,Mon,3,12,471,471,458.600006,459.899994,459.899994,427596,460,460,441.899994,445.75,437.649292,2027879,253.559998,254.154999,250.212006,252.591003,223.557587,62002,189.5,189.5,185.100006,186.699997,175.258636,3999158,125.800003,126.949997,124.099998,124.75,124.75,6987236,62.5,62.5,61.349998,61.549999,60.583748,3668111
2017-03-23,464.459015,473.128998,464.459015,472.080994,443.693329,1.015160254,1,4331667,Tue,3,12,460.700012,475.899994,460.700012,471.799988,471.799988,449713,449.600006,454,446.149994,452,443.785736,1420121,253.317993,254.639008,251.005005,253.824005,224.648865,478544,186.699997,189,185.5,186.850006,175.399445,2749898,125.5,126.400002,124.199997,125.5,125.5,4514928,61.599998,62.25,61.599998,61.900002,60.928257,2788339
2017-03-24,472.605011,476.27301,467.889008,469.890015,441.634094,0.9953588917,0,3235007,Wed,3,12,472,474.700012,467.649994,470.5,470.5,313779,453.100006,457.75,446.950012,447.950012,439.809326,854519,253.757996,257.062012,252.656998,254.639008,225.370193,143352,186.899994,190.75,186,186.800003,175.352509,3979893,125.699997,126.900002,119.050003,119.75,119.75,17408161,62,63.5,61.900002,62.5,61.518837,4884114
2017-03-27,469.460999,469.460999,452.216003,453.979004,426.679901,0.9661388612,0,6497027,Thu,3,13,470,470,462.399994,465.5,465.5,941186,446,451,440.75,447.950012,439.809326,505757,254.177002,257.811005,251.996002,257.239014,227.671341,129939,186.800003,187.699997,177.699997,179.449997,168.452911,8610189,121,121.849998,114.75,116.5,116.5,12043717,62.25,62.25,60.099998,60.25,59.304157,4372107
2017-03-28,454.979004,459.838013,454.454987,457.503998,429.992889,1.007764663,1,4614648,Fri,3,13,469.899994,473.100006,468,472.399994,472.399994,195210,450,456,447.850006,453.649994,445.405731,1419986,257.722992,261.908997,257.524994,260.938995,230.946045,209405,179.300003,183.949997,179.300003,181.600006,170.471176,8752274,117.900002,121.449997,117.5,120.300003,120.300003,10877034,60.400002,60.950001,60.049999,60.25,59.304157,2844256
